record_timestamp,name,stationcode,ebike,mechanical,coordonnees_geo,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,nom_arrondissement_communes,is_returning,geometry.type,geometry.coordinates,lat,lng
2024-04-16T12:27:00.395Z,Metz - Faubourg Saint-Denis,10004,8,14,"[48.870893, 2.353521]",2024-04-16T12:22:24+00:00,22,25,48,1,1,Paris,OUI,Point,"[2.353521, 48.870893]",48.870893,2.353521
2024-04-16T12:27:00.395Z,Neuilly - Petit,21118,3,10,"[48.898965361341254, 2.29627937078476]",2024-04-16T12:20:34+00:00,13,2,16,1,1,Clichy,OUI,Point,"[2.29627937078476, 48.898965361341254]",48.898965361341254,2.29627937078476
2024-04-16T12:27:00.395Z,Pelée - Alphonse Baudin,11103,2,14,"[48.8600265, 2.3710541]",2024-04-16T12:22:06+00:00,16,21,38,1,1,Paris,OUI,Point,"[2.3710541, 48.8600265]",48.8600265,2.3710541
2024-04-16T12:27:00.395Z,Joseph Sansboeuf - Saint Lazare,8008,1,16,"[48.87531563065266, 2.3229019716382027]",2024-04-16T12:21:41+00:00,17,0,18,1,1,Paris,OUI,Point,"[2.3229019716382027, 48.87531563065266]",48.87531563065266,2.3229019716382027
2024-04-16T12:27:00.395Z,Place Jules Ferry,21203,6,1,"[48.812107928414775, 2.325837314128876]",2024-04-16T12:20:55+00:00,7,21,28,1,1,Montrouge,OUI,Point,"[2.325837314128876, 48.812107928414775]",48.812107928414775,2.325837314128876
2024-04-16T12:27:00.395Z,Botzaris - Crimée,19025,3,0,"[48.87959698690176, 2.3887913337477067]",2024-04-16T12:20:44+00:00,3,18,21,1,1,Paris,OUI,Point,"[2.3887913337477067, 48.87959698690176]",48.87959698690176,2.3887913337477067
2024-04-16T12:27:00.395Z,André Maurois - Joseph et Marie Hackin,16003,2,2,"[48.8778983, 2.2789591]",2024-04-16T12:20:55+00:00,4,25,29,1,1,Paris,OUI,Point,"[2.2789591, 48.8778983]",48.8778983,2.2789591
2024-04-16T12:27:00.395Z,Eylau - Trocadéro,16014,3,1,"[48.863354122371, 2.2864209115505]",2024-04-16T12:16:10+00:00,4,19,24,1,1,Paris,OUI,Point,"[2.2864209115505, 48.863354122371]",48.863354122371,2.2864209115505
2024-04-16T12:27:00.395Z,Gare Montparnasse - Edgar Quinet,14101,2,3,"[48.841487851079, 2.3233232282801]",2024-04-16T12:18:31+00:00,5,28,33,1,1,Paris,OUI,Point,"[2.3233232282801, 48.841487851079]",48.841487851079,2.3233232282801
2024-04-16T12:27:00.395Z,Victor Cresson - Telles de la Poterie,21307,7,21,"[48.822698842979, 2.2686498274964]",2024-04-16T12:21:54+00:00,28,3,31,1,1,Issy-les-Moulineaux,OUI,Point,"[2.2686498274964, 48.822698842979]",48.822698842979,2.2686498274964
2024-04-16T12:27:00.395Z,Convention - Vaugirard,15052,3,13,"[48.83767682233156, 2.295586926020252]",2024-04-16T12:21:15+00:00,16,30,48,1,1,Paris,OUI,Point,"[2.295586926020252, 48.83767682233156]",48.83767682233156,2.295586926020252
2024-04-16T12:27:00.395Z,Commerce - Letellier,15123,1,7,"[48.84797660373612, 2.2966245196598805]",2024-04-16T12:18:25+00:00,8,35,44,1,1,Paris,OUI,Point,"[2.2966245196598805, 48.84797660373612]",48.84797660373612,2.2966245196598805
